order_item_id,order_id,product_id,quantity,unit_price,subtotal
196,63,3,4,387.65,1550.6
197,64,16,5,73.64,368.2
198,64,14,4,171.98,687.92
199,64,11,4,335.43,1341.72
200,64,19,5,371.89,1859.45
201,64,9,1,432.03,432.03
202,65,17,3,222.56,667.68
203,66,3,3,387.65,1162.95
204,66,12,3,317.66,952.98
205,66,16,3,73.64,220.92
206,67,19,2,371.89,743.78
207,67,13,2,394.63,789.26
208,68,5,3,348.82,1046.46
209,68,15,2,35.19,70.38
210,68,8,2,352.3,704.6
211,68,1,5,473.26,2366.3
212,69,8,1,352.3,352.3
213,69,8,1,352.3,352.3
214,70,8,4,352.3,1409.2
215,70,14,1,171.98,171.98
216,70,4,3,99.95,299.85
217,70,6,1,106.23,106.23
218,71,1,5,473.26,2366.3
219,71,18,1,173.97,173.97
220,72,19,1,371.89,371.89
221,72,7,5,177.62,888.1
222,72,4,1,99.95,99.95
223,72,10,1,128.24,128.24
224,72,20,5,87.82,439.1
225,73,12,1,317.66,317.66
226,73,13,2,394.63,789.26
227,73,1,4,473.26,1893.04
228,73,19,4,371.89,1487.56
229,74,20,2,87.82,175.64
230,74,8,2,352.3,704.6
231,74,5,2,348.82,697.64
232,74,13,2,394.63,789.26
233,74,3,5,387.65,1938.25
234,75,20,4,87.82,351.28
235,76,9,2,432.03,864.06
236,76,19,4,371.89,1487.56
237,76,3,4,387.65,1550.6
238,77,7,1,177.62,177.62
239,77,19,1,371.89,371.89
240,77,17,3,222.56,667.68
241,77,2,3,427.19,1281.57
242,77,12,4,317.66,1270.64
243,78,2,2,427.19,854.38
244,78,16,2,73.64,147.28
245,78,13,4,394.63,1578.52
246,79,19,4,371.89,1487.56
247,79,20,4,87.82,351.28
248,79,2,3,427.19,1281.57
249,79,16,1,73.64,73.64
250,80,5,4,348.82,1395.28
251,81,11,5,335.43,1677.15
252,81,10,4,128.24,512.96
253,82,18,5,173.97,869.85
254,83,6,1,106.23,106.23
255,83,14,3,171.98,515.94
256,84,11,5,335.43,1677.15
257,84,15,4,35.19,140.76
258,85,11,5,335.43,1677.15
259,85,14,4,171.98,687.92
260,85,18,2,173.97,347.94
261,85,12,4,317.66,1270.64
262,86,3,5,387.65,1938.25
263,86,8,1,352.3,352.3
264,86,11,3,335.43,1006.29
265,86,19,4,371.89,1487.56
266,86,11,4,335.43,1341.72
267,87,8,4,352.3,1409.2
268,87,14,4,171.98,687.92
269,88,3,3,387.65,1162.95
270,88,14,5,171.98,859.9
271,88,14,2,171.98,343.96
272,89,14,2,171.98,343.96
273,89,13,5,394.63,1973.15
274,89,8,2,352.3,704.6
275,89,2,1,427.19,427.19
276,89,7,3,177.62,532.86
277,90,5,3,348.82,1046.46
278,90,15,2,35.19,70.38
279,91,20,2,87.82,175.64
280,91,17,3,222.56,667.68
281,91,20,1,87.82,87.82
282,92,5,3,348.82,1046.46
283,92,8,5,352.3,1761.5
284,92,17,1,222.56,222.56
285,92,10,5,128.24,641.2
286,92,5,1,348.82,348.82
287,93,7,3,177.62,532.86
288,94,16,4,73.64,294.56
289,95,1,2,473.26,946.52
290,95,14,5,171.98,859.9
291,95,14,1,171.98,171.98
292,96,14,1,171.98,171.98
293,96,17,5,222.56,1112.8
294,97,1,1,473.26,473.26
295,98,15,1,35.19,35.19
296,98,17,3,222.56,667.68
297,98,5,2,348.82,697.64
298,98,13,3,394.63,1183.89
299,99,5,3,348.82,1046.46
300,99,6,5,106.23,531.15
301,99,5,3,348.82,1046.46
302,99,17,5,222.56,1112.8
303,99,5,1,348.82,348.82
304,100,11,3,335.43,1006.29
305,100,20,3,87.82,263.46
306,100,15,2,35.19,70.38
