review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
35,1,23,4,Satisfecho,Bueno pero esperaba un poco más.,true,11,2025-06-17
36,14,25,5,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2025-02-20
37,5,18,4,Recomendado,Llegó a tiempo y en perfecto estado.,true,49,2024-06-26
38,8,28,1,Buena calidad,El producto es correcto pero la entrega tardó.,true,50,2025-04-06
39,10,8,2,No tan bueno,Bueno pero esperaba un poco más.,true,13,2026-01-04
40,14,23,5,Muy bueno,Muy buena calidad por el precio.,true,5,2023-10-11
41,15,16,1,Podría mejorar,Cumple con lo prometido.,true,45,2024-05-10
42,19,28,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,0,2024-12-24
43,19,1,2,Buena calidad,Cumple con lo prometido.,true,31,2025-02-14
44,7,6,2,No tan bueno,No cumplió mis expectativas.,true,18,2025-09-28
45,15,19,5,Satisfecho,Cumple con lo prometido.,false,17,2025-07-27
46,2,5,4,Satisfecho,Cumple con lo prometido.,false,37,2025-04-05
47,2,30,2,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,14,2024-10-16
48,20,7,4,Buena calidad,Llegó a tiempo y en perfecto estado.,false,18,2026-03-02
49,12,8,5,Cumple expectativas,Muy buena calidad por el precio.,true,12,2023-10-27
50,2,8,2,No tan bueno,Excelente relación calidad-precio.,false,14,2025-02-25
51,5,5,1,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,39,2025-08-22
52,15,21,5,Excelente producto,El producto es correcto pero la entrega tardó.,true,47,2024-06-11
53,7,3,4,Cumple expectativas,Bueno pero esperaba un poco más.,true,11,2025-01-24
54,8,11,2,Satisfecho,No cumplió mis expectativas.,true,22,2023-10-02
55,8,9,3,Buena calidad,No cumplió mis expectativas.,true,14,2024-02-26
56,20,13,3,Buena calidad,Excelente relación calidad-precio.,true,29,2023-09-30
57,13,31,5,Muy bueno,Muy buena calidad por el precio.,true,41,2025-07-06
58,12,7,5,Excelente producto,Cumple con lo prometido.,false,13,2023-07-04
59,8,6,4,Muy bueno,Muy buena calidad por el precio.,false,18,2026-03-11
60,1,19,1,Muy bueno,No cumplió mis expectativas.,true,19,2024-09-13
61,15,33,3,Muy bueno,Muy buena calidad por el precio.,true,40,2023-07-13
62,3,21,3,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,46,2024-06-18
63,3,18,5,Excelente producto,No cumplió mis expectativas.,true,23,2025-12-08
64,8,9,3,Buena calidad,Cumple con lo prometido.,true,8,2025-04-26
65,18,28,3,Satisfecho,Cumple con lo prometido.,false,8,2024-12-20
66,11,27,3,Excelente producto,Excelente relación calidad-precio.,true,27,2024-03-22
67,15,8,4,Satisfecho,Llegó a tiempo y en perfecto estado.,false,48,2025-02-27
68,2,12,4,Recomendado,El producto es correcto pero la entrega tardó.,true,32,2025-10-12
69,10,8,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,1,2024-07-17
70,16,16,4,Satisfecho,El producto es correcto pero la entrega tardó.,true,32,2026-01-03
71,17,30,4,No tan bueno,Muy buena calidad por el precio.,true,2,2025-11-07
72,4,28,5,Excelente producto,Bueno pero esperaba un poco más.,true,6,2023-08-31
73,15,31,5,Excelente producto,Bueno pero esperaba un poco más.,false,8,2025-01-16
74,17,19,3,Recomendado,Muy buena calidad por el precio.,true,14,2025-01-01
75,17,17,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,11,2025-05-12
76,17,29,1,Excelente producto,No cumplió mis expectativas.,true,38,2024-10-29
77,20,9,2,Recomendado,Llegó a tiempo y en perfecto estado.,true,48,2024-04-26
78,8,10,1,No tan bueno,No cumplió mis expectativas.,true,23,2024-03-14
79,2,22,2,Muy bueno,El producto es correcto pero la entrega tardó.,true,41,2023-05-17
80,9,20,5,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",true,45,2023-03-14
81,2,2,1,Excelente producto,El producto es correcto pero la entrega tardó.,true,49,2025-06-14
82,13,13,1,Satisfecho,No cumplió mis expectativas.,false,12,2023-05-25
83,17,3,1,Satisfecho,No cumplió mis expectativas.,false,46,2024-04-16
84,18,2,5,No tan bueno,Llegó a tiempo y en perfecto estado.,true,25,2024-09-26
85,5,24,3,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,13,2025-03-11
86,14,34,3,Cumple expectativas,No cumplió mis expectativas.,false,8,2024-06-07
87,13,13,5,Muy bueno,El producto es correcto pero la entrega tardó.,true,15,2025-10-08
88,12,13,3,Recomendado,Bueno pero esperaba un poco más.,true,6,2025-07-21
89,1,21,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,44,2023-12-12
90,6,30,4,Buena calidad,Llegó a tiempo y en perfecto estado.,true,36,2024-08-17
91,5,16,4,Buena calidad,Cumple con lo prometido.,false,46,2025-03-10
92,13,2,5,Recomendado,No cumplió mis expectativas.,false,23,2024-02-21
93,3,33,3,Buena calidad,Bueno pero esperaba un poco más.,false,27,2025-05-08
94,9,12,4,Buena calidad,Llegó a tiempo y en perfecto estado.,true,8,2025-12-14
95,17,12,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,1,2023-09-14
96,2,10,5,Excelente producto,Llegó a tiempo y en perfecto estado.,false,6,2023-07-25
97,4,7,3,Recomendado,Llegó a tiempo y en perfecto estado.,true,23,2023-06-07
98,16,4,5,Excelente producto,Cumple con lo prometido.,true,44,2024-11-12
99,20,24,4,Recomendado,Llegó a tiempo y en perfecto estado.,true,32,2024-12-12
100,5,18,5,Recomendado,El producto es correcto pero la entrega tardó.,true,30,2025-07-20
